,Currency,Name,Units per EUR,EUR per unit,Date,Rate,Change
107,YER,Yemeni Rial,258.3371525552241,0.0038709105140664,2022-11-30,,
108,MGA,Malagasy Ariary,4501.179334434706,0.0002221639987435,2022-11-30,,
109,KYD,Caymanian Dollar,0.8462538174278561,1.1816785690130738,2022-11-30,,
110,MZN,Mozambican Metical,65.92890291157119,0.015167854398264,2022-11-30,,
111,RSD,Serbian Dinar,117.32393281904396,0.008523410151468,2022-11-30,,
112,SCR,Seychellois Rupee,13.300680978843944,0.0751841203913242,2022-11-30,,
113,AMD,Armenian Dram,405.3729741238977,0.002466864008784,2022-11-30,,
114,AZN,Azerbaijan Manat,1.7543834842193915,0.5700008059782593,2022-11-30,,
115,SBD,Solomon Islander Dollar,8.470410418312646,0.1180580338631579,2022-11-30,,
116,SLL,Sierra Leonean Leone,18896.383778009567,5.29201783657e-05,2022-11-30,,
117,TOP,Tongan Pa'anga,2.4382985420747176,0.4101220513994618,2022-11-30,,
118,BZD,Belizean Dollar,2.081988321946363,0.4803100908198862,2022-11-30,,
119,GMD,Gambian Dalasi,63.93568905255875,0.015640716707971,2022-11-30,,
120,MWK,Malawian Kwacha,1059.750343207384,0.0009436184724162,2022-11-30,,
121,BIF,Burundian Franc,2125.573080764556,0.0004704613588916,2022-11-30,,
122,HTG,Haitian Gourde,142.28815293733743,0.0070279919962162,2022-11-30,,
123,SOS,Somali Shilling,586.2576586835195,0.0017057346461717,2022-11-30,,
124,GNF,Guinean Franc,8913.499607233523,0.0001121893806096,2022-11-30,,
125,MNT,Mongolian Tughrik,3535.5481044820385,0.0002828415765952,2022-11-30,,
126,MVR,Maldivian Rufiyaa,15.88031000170824,0.0629710629006883,2022-11-30,,
127,CDF,Congolese Franc,2114.4932015152044,0.0004729265619219,2022-11-30,,
128,STN,Sao Tomean Dobra,24.451620904232684,0.0408970842430693,2022-11-30,,
129,TJS,Tajikistani Somoni,10.378946886076733,0.0963488888589931,2022-11-30,,
130,KPW,North Korean Won,928.758027898832,0.0010767067093485,2022-11-30,,
131,KGS,Kyrgyzstani Som,87.15252329782699,0.0114741370893266,2022-11-30,,
132,LRD,Liberian Dollar,158.88116337422022,0.0062940123219305,2022-11-30,,
133,LSL,Basotho Loti,17.501919462536737,0.057136590197465,2022-11-30,,
134,MMK,Burmese Kyat,2169.655872590859,0.0004609025848905,2022-11-30,,
135,GIP,Gibraltar Pound,0.8631392377388841,1.1585616274607584,2022-11-30,,
136,XPT,Platinum Ounce,0.0009991735794618,1000.8271040739336,2022-11-30,,
137,MDL,Moldovan Leu,20.029940762931133,0.0499252599813311,2022-11-30,,
138,CUP,Cuban Peso,24.795453993425934,0.0403299734001697,2022-11-30,,
139,KHR,Cambodian Riel,4270.3310180714325,0.0002341738838905,2022-11-30,,
140,MKD,Macedonian Denar,61.37674860190372,0.0162928148326348,2022-11-30,,
141,VUV,Ni-Vanuatu Vatu,123.3447634642188,0.00810735674474,2022-11-30,,
142,ANG,Dutch Guilder,1.847201009643972,0.5413596001621607,2022-11-30,,
143,MRU,Mauritanian Ouguiya,39.29539284442887,0.0254482759329832,2022-11-30,,
144,SZL,Swazi Lilangeni,17.501919462536737,0.057136590197465,2022-11-30,,
145,CVE,Cape Verdean Escudo,110.27,0.0090686496780629,2022-11-30,,
146,SRD,Surinamese Dollar,32.62506280709717,0.0306512819887188,2022-11-30,,
147,SVC,Salvadoran Colon,9.03022410290836,0.1107392229255894,2022-11-30,,
148,XPD,Palladium Ounce,0.0005504808669628,1816.5935639457784,2022-11-30,,
149,BSD,Bahamian Dollar,1.0320256117609556,0.9689682005989076,2022-11-30,,
150,XDR,IMF Special Drawing Rights,0.7871137658595949,1.2704643767828343,2022-11-30,,
151,RWF,Rwandan Franc,1114.6808338697354,0.000897117784405,2022-11-30,,
152,AWG,Aruban or Dutch Guilder,1.8473258450521104,0.5413230170943618,2022-11-30,,
153,BTN,Bhutanese Ngultrum,84.03870920785975,0.0118992784328305,2022-11-30,,
154,DJF,Djiboutian Franc,183.49426886033248,0.0054497614896144,2022-11-30,,
155,KMF,Comorian Franc,491.96775,0.0020326535631654,2022-11-30,,
156,ERN,Eritrean Nakfa,15.480384176414336,0.0645978800399271,2022-11-30,,
157,FKP,Falkland Island Pound,0.8631392377388841,1.1585616274607584,2022-11-30,,
158,SHP,Saint Helenian Pound,0.8631392377388841,1.1585616274607584,2022-11-30,,
159,SPL,Seborgan Luigino,0.1720042679388088,5.813809226848683,2022-11-30,,
160,WST,Samoan Tala,2.813040986957416,0.355487177270602,2022-11-30,,
161,JEP,Jersey Pound,0.8631392377388841,1.1585616274607584,2022-11-30,,
162,TMT,Turkmenistani Manat,3.606153837361992,0.2773037549422821,2022-11-30,,
163,GGP,Guernsey Pound,0.8631392377388841,1.1585616274607584,2022-11-30,,
164,IMP,Isle of Man Pound,0.8631392377388841,1.1585616274607584,2022-11-30,,
165,TVD,Tuvaluan Dollar,1.5369222651875485,0.6506509942960397,2022-11-30,,
166,ZMW,Zambian Kwacha,17.616631125839163,0.0567645421452488,2022-11-30,,
167,ADA,Cardano,3.282552796811373,0.3046409492549172,2022-11-30,,
168,BCH,Bitcoin Cash,0.0091951237463706,108.75329441811,2022-11-30,,
169,BTC,Bitcoin,6.12360466835e-05,16330.25079440817,2022-11-30,,
170,CLF,CLF,0.0393005550953221,25.44493322230525,2022-11-30,,
171,CNH,Chinese Yuan Renminbi Offshore,7.324984237993513,0.1365190650941146,2022-11-30,,
172,DOGE,Dogecoin,9.92358993901371,0.1007699840627824,2022-11-30,,
173,DOT,Polkadot,0.1912134569686669,5.229757444131479,2022-11-30,,
174,ETH,Ethereum,0.000810300033351,1234.1107723573532,2022-11-30,,
175,LINK,Chainlink,0.1389825592385905,7.195147401792379,2022-11-30,,
176,LTC,Litecoin,0.0132723002910092,75.34488958763315,2022-11-30,,
177,LUNA,Terra,6.506433328874304e+40,1.5369403626441414e-41,2022-11-30,,
178,MXV,MXV,2.8203410344114768,0.3545670497995896,2022-11-30,,
179,SLE,Sierra Leonean Leone,18.896383778009568,0.0529201783657536,2022-11-30,,
180,UNI,Uniswap,17.96885113097073,0.0556518606955578,2022-11-30,,
181,VED,VED,11.231471241265718,0.0890355304767094,2022-11-30,,
182,XBT,XBT,6.12360466835e-05,16330.25079440817,2022-11-30,,
183,XLM,Stellar Lumen,11.609110632891968,0.0861392428431779,2022-11-30,,
184,XRP,Ripple,2.576328070637395,0.3881493243803361,2022-11-30,,
185,ZWL,ZWL,656.565404111716,0.0015230775087105,2022-11-30,,
0,USD,US Dollar,1.0498124630053116,0.9525510843501392,2022-12-01,,
1,EUR,Euro,1.0,1.0,2022-12-01,,
2,GBP,British Pound,0.8570724624755482,1.1667624895001565,2022-12-01,,
3,INR,Indian Rupee,85.23679174212334,0.0117320229863345,2022-12-01,,
4,AUD,Australian Dollar,1.542813920970548,0.6481663059994451,2022-12-01,,
5,CAD,Canadian Dollar,1.4097484643823384,0.7093464013370188,2022-12-01,,
6,SGD,Singapore Dollar,1.4225275898649132,0.7029740632974032,2022-12-01,,
7,CHF,Swiss Franc,0.9845158105693012,1.0157277204331994,2022-12-01,,
8,MYR,Malaysian Ringgit,4.624801763733661,0.2162254840503017,2022-12-01,,
9,JPY,Japanese Yen,142.28523709288083,0.007028136020515,2022-12-01,,
10,CNY,Chinese Yuan Renminbi,7.394728687178052,0.135231465859448,2022-12-01,,
11,NZD,New Zealand Dollar,1.6481966019401086,0.6067237360050919,2022-12-01,,
12,THB,Thai Baht,36.533197978116725,0.0273723641877449,2022-12-01,,
